Name,State,Type,Region
Amridge University,AL,Private,Southeast
Birmingham Southern College,AL,Private,Southeast
Faulkner University,AL,Private,Southeast
Huntingdon College,AL,Private,Southeast
Heritage Christian University,AL,Private,Southeast
Judson College,AL,Private,Southeast
Miles College,AL,Private,Southeast
University of Mobile,AL,Private,Southeast
Oakwood University,AL,Private,Southeast
Samford University,AL,Private,Southeast
Spring Hill College,AL,Private,Southeast
Stillman College,AL,Private,Southeast
Talladega College,AL,Private,Southeast
Tuskegee University,AL,Private,Southeast
United States Sports Academy,AL,Private,Southeast
Alaska Bible College,AK,Private,West
Alaska Pacific University,AK,Private,West
Embry-Riddle Aeronautical University-Prescott,AZ,Private,West
Ottawa University-Phoenix,AZ,Private,West
Prescott College,AZ,Private,West
Arizona Christian University,AZ,Private,West
Lyon College,AR,Private,Southeast
Central Baptist College,AR,Private,Southeast
Crowley's Ridge College,AR,Private,Southeast
Harding University,AR,Private,Southeast
Hendrix College,AR,Private,Southeast
John Brown University,AR,Private,Southeast
Ouachita Baptist University,AR,Private,Southeast
University of the Ozarks,AR,Private,Southeast
Philander Smith College,AR,Private,Southeast
Williams Baptist University,AR,Private,Southeast
Art Center College of Design,CA,Private,West
Azusa Pacific University,CA,Private,West
Bethesda University,CA,Private,West
Biola University,CA,Private,West
California Institute of Integral Studies,CA,Private,West
California Baptist University,CA,Private,West
California College of the Arts,CA,Private,West
California Institute of Technology,CA,Private,West
California Lutheran University,CA,Private,West
California Christian College,CA,Private,West
California Institute of the Arts,CA,Private,West
Chapman University,CA,Private,West
Concordia University-Irvine,CA,Private,West
San Diego Christian College,CA,Private,West
Claremont McKenna College,CA,Private,West
Columbia College Hollywood,CA,Private,West
Dominican University of California,CA,Private,West
Fresno Pacific University,CA,Private,West
Golden Gate University-San Francisco,CA,Private,West
Harvey Mudd College,CA,Private,West
Holy Names University,CA,Private,West
Humphreys University-Stockton and Modesto Campuses,CA,Private,West
John F. Kennedy University,CA,Private,West
American Jewish University,CA,Private,West
Life Pacific College,CA,Private,West
University of La Verne,CA,Private,West
Laguna College of Art and Design,CA,Private,West
Lincoln University,CA,Private,West
Southern California Seminary,CA,Private,West
La Sierra University,CA,Private,West
Loma Linda University,CA,Private,West
The Master's University and Seminary,CA,Private,West
Loyola Marymount University,CA,Private,West
Marymount California University,CA,Private,West
Menlo College,CA,Private,West
Mills College,CA,Private,West
Middlebury Institute of International Studies at Monterey,CA,Private,West
Mount Saint Mary's University,CA,Private,West
National University,CA,Private,West
Notre Dame de Namur University,CA,Private,West
Occidental College,CA,Private,West
Otis College of Art and Design,CA,Private,West
Hope International University,CA,Private,West
Palo Alto University,CA,Private,West
Pacific Oaks College,CA,Private,West
Pacific States University,CA,Private,West
Pacific Union College,CA,Private,West
University of the Pacific,CA,Private,West
Pepperdine University,CA,Private,West
Pitzer College,CA,Private,West
Point Loma Nazarene University,CA,Private,West
Pomona College,CA,Private,West
University of Redlands,CA,Private,West
Samuel Merritt University,CA,Private,West
University of San Diego,CA,Private,West
San Francisco Art Institute,CA,Private,West
San Francisco Conservatory of Music,CA,Private,West
University of San Francisco,CA,Private,West
William Jessup University,CA,Private,West
Santa Clara University,CA,Private,West
Scripps College,CA,Private,West
Shasta Bible College and Graduate School,CA,Private,West
Simpson University,CA,Private,West
Saint Mary's College of California,CA,Private,West
South Baylo University,CA,Private,West
Vanguard University of Southern California,CA,Private,West
Southern California Institute of Architecture,CA,Private,West
University of Southern California,CA,Private,West
Thomas Aquinas College,CA,Private,West
Westmont College,CA,Private,West
Whittier College,CA,Private,West
Woodbury University,CA,Private,West
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,Private,West
Colorado Christian University,CO,Private,West
Colorado College,CO,Private,West
University of Denver,CO,Private,West
Naropa University,CO,Private,West
Nazarene Bible College,CO,Private,West
Regis University,CO,Private,West
Albertus Magnus College,CT,Private,Northeast
University of Bridgeport,CT,Private,Northeast
Connecticut College,CT,Private,Northeast
Fairfield University,CT,Private,Northeast
University of Hartford,CT,Private,Northeast
Holy Apostles College and Seminary,CT,Private,Northeast
Mitchell College,CT,Private,Northeast
University of New Haven,CT,Private,Northeast
Quinnipiac University,CT,Private,Northeast
Sacred Heart University,CT,Private,Northeast
University of Saint Joseph,CT,Private,Northeast
Trinity College,CT,Private,Northeast
Wesleyan University,CT,Private,Northeast
Yale University,CT,Private,Northeast
Goldey-Beacom College,DE,Private,Northeast
Wesley College,DE,Private,Northeast
Wilmington University,DE,Private,Northeast
American University,DC,Private,Northeast
Catholic University of America,DC,Private,Northeast
Gallaudet University,DC,Private,Northeast
George Washington University,DC,Private,Northeast
Georgetown University,DC,Private,Northeast
Howard University,DC,Private,Northeast
Trinity Washington University,DC,Private,Northeast
The Baptist College of Florida,FL,Private,Southeast
Barry University,FL,Private,Southeast
Bethune-Cookman University,FL,Private,Southeast
Lynn University,FL,Private,Southeast
Carlos Albizu University-Miami,FL,Private,Southeast
Johnson University Florida,FL,Private,Southeast
Eckerd College,FL,Private,Southeast
Edward Waters College,FL,Private,Southeast
Embry-Riddle Aeronautical University-Daytona Beach,FL,Private,Southeast
Flagler College-St Augustine,FL,Private,Southeast
AdventHealth University,FL,Private,Southeast
Florida Institute of Technology,FL,Private,Southeast
Florida Memorial University,FL,Private,Southeast
Florida Southern College,FL,Private,Southeast
Hobe Sound Bible College,FL,Private,Southeast
Jacksonville University,FL,Private,Southeast
Luther Rice College & Seminary,GA,Private,Southeast
Trinity International University-Florida,FL,Private,Southeast
University of Miami,FL,Private,Southeast
Nova Southeastern University,FL,Private,Southeast
Palm Beach Atlantic University,FL,Private,Southeast
Ringling College of Art and Design,FL,Private,Southeast
Rollins College,FL,Private,Southeast
Saint Leo University,FL,Private,Southeast
Saint John Vianney College Seminary,FL,Private,Southeast
St. Thomas University,FL,Private,Southeast
Stetson University,FL,Private,Southeast
Southeastern University,FL,Private,Southeast
Talmudic College of Florida,FL,Private,Southeast
The University of Tampa,FL,Private,Southeast
Trinity Baptist College,FL,Private,Southeast
Trinity College of Florida,FL,Private,Southeast
Warner University,FL,Private,Southeast
Webber International University,FL,Private,Southeast
Agnes Scott College,GA,Private,Southeast
Point University,GA,Private,Southeast
Clark Atlanta University,GA,Private,Southeast
Berry College,GA,Private,Southeast
Beulah Heights University,GA,Private,Southeast
Brenau University,GA,Private,Southeast
Brewton-Parker College,GA,Private,Southeast
Covenant College,GA,Private,Southeast
Emmanuel College,GA,Private,Southeast
Emory University,GA,Private,Southeast
LaGrange College,GA,Private,Southeast
Life University,GA,Private,Southeast
Herzing University-Atlanta,GA,Private,Southeast
Mercer University,GA,Private,Southeast
Morehouse College,GA,Private,Southeast
Oglethorpe University,GA,Private,Southeast
Paine College,GA,Private,Southeast
Piedmont College,GA,Private,Southeast
Reinhardt University,GA,Private,Southeast
Savannah College of Art and Design,GA,Private,Southeast
Shorter University,GA,Private,Southeast
Spelman College,GA,Private,Southeast
Thomas University,GA,Private,Southeast
Toccoa Falls College,GA,Private,Southeast
Truett McConnell University,GA,Private,Southeast
Wesleyan College,GA,Private,Southeast
Young Harris College,GA,Private,Southeast
Chaminade University of Honolulu,HI,Private,West
Hawaii Pacific University,HI,Private,West
Boise Bible College,ID,Private,West
The College of Idaho,ID,Private,West
Northwest Nazarene University,ID,Private,West
Brigham Young University-Idaho,ID,Private,West
American Academy of Art,IL,Private,Midwest
American Islamic College,IL,Private,Midwest
School of the Art Institute of Chicago,IL,Private,Midwest
Augustana College,IL,Private,Midwest
Aurora University,IL,Private,Midwest
Blackburn College,IL,Private,Midwest
Blessing Rieman College of Nursing and Health Sciences,IL,Private,Midwest
Bradley University,IL,Private,Midwest
University of Chicago,IL,Private,Midwest
Columbia College Chicago,IL,Private,Midwest
Concordia University-Chicago,IL,Private,Midwest
DePaul University,IL,Private,Midwest
East-West University,IL,Private,Midwest
Elmhurst College,IL,Private,Midwest
Eureka College,IL,Private,Midwest
Greenville University,IL,Private,Midwest
Hebrew Theological College,IL,Private,Midwest
Benedictine University,IL,Private,Midwest
Illinois Wesleyan University,IL,Private,Midwest
Illinois College,IL,Private,Midwest
Illinois Institute of Technology,IL,Private,Midwest
Judson University,IL,Private,Midwest
Knox College,IL,Private,Midwest
Lake Forest College,IL,Private,Midwest
Lakeview College of Nursing,IL,Private,Midwest
Lewis University,IL,Private,Midwest
Lincoln Christian University,IL,Private,Midwest
Loyola University Chicago,IL,Private,Midwest
Trinity College of Nursing & Health Sciences,IL,Private,Midwest
MacMurray College,IL,Private,Midwest
McKendree University,IL,Private,Midwest
Methodist College,IL,Private,Midwest
Millikin University,IL,Private,Midwest
Monmouth College,IL,Private,Midwest
Moody Bible Institute,IL,Private,Midwest
National Louis University,IL,Private,Midwest
National University of Health Sciences,IL,Private,Midwest
North Central College,IL,Private,Midwest
North Park University,IL,Private,Midwest
Northwestern University,IL,Private,Midwest
Olivet Nazarene University,IL,Private,Midwest
Principia College,IL,Private,Midwest
Quincy University,IL,Private,Midwest
Robert Morris University Illinois,IL,Private,Midwest
Rockford University,IL,Private,Midwest
Roosevelt University,IL,Private,Midwest
Dominican University,IL,Private,Midwest
Rush University,IL,Private,Midwest
Saint Francis Medical Center College of Nursing,IL,Private,Midwest
University of St Francis,IL,Private,Midwest
St. John's College-Department of Nursing,IL,Private,Midwest
Saint Xavier University,IL,Private,Midwest
Saint Anthony College of Nursing,IL,Private,Midwest
Telshe Yeshiva-Chicago,IL,Private,Midwest
Trinity Christian College,IL,Private,Midwest
Trinity International University-Illinois,IL,Private,Midwest
VanderCook College of Music,IL,Private,Midwest
Resurrection University,IL,Private,Midwest
Wheaton College,IL,Private,Midwest
Anderson University,IN,Private,Midwest
Bethel College-Indiana,IN,Private,Midwest
Butler University,IN,Private,Midwest
Calumet College of Saint Joseph,IN,Private,Midwest
DePauw University,IN,Private,Midwest
Earlham College,IN,Private,Midwest
University of Evansville,IN,Private,Midwest
Franklin College,IN,Private,Midwest
Goshen College,IN,Private,Midwest
Grace College and Theological Seminary,IN,Private,Midwest
Hanover College,IN,Private,Midwest
Holy Cross College,IN,Private,Midwest
Huntington University,IN,Private,Midwest
University of Indianapolis,IN,Private,Midwest
Indiana Institute of Technology,IN,Private,Midwest
Manchester University,IN,Private,Midwest
Marian University,IN,Private,Midwest
Indiana Wesleyan University-Marion,IN,Private,Midwest
Martin University,IN,Private,Midwest
University of Notre Dame,IN,Private,Midwest
Oakland City University,IN,Private,Midwest
Rose-Hulman Institute of Technology,IN,Private,Midwest
University of Saint Francis-Fort Wayne,IN,Private,Midwest
Saint Mary-of-the-Woods College,IN,Private,Midwest
Saint Mary's College,IN,Private,Midwest
Taylor University,IN,Private,Midwest
Trine University,IN,Private,Midwest
Valparaiso University,IN,Private,Midwest
Wabash College,IN,Private,Midwest
Allen College,IA,Private,Midwest
Briar Cliff University,IA,Private,Midwest
Buena Vista University,IA,Private,Midwest
Central College,IA,Private,Midwest
Clarke University,IA,Private,Midwest
Coe College,IA,Private,Midwest
Cornell College,IA,Private,Midwest
Divine Word College,IA,Private,Midwest
