Name,State,Type,Tuition_out
University of Michigan-Ann Arbor,MI,Public,47476
University of Virginia-Main Campus,VA,Public,47273
Virginia Military Institute,VA,Public,43902
College of William and Mary,VA,Public,43670
University of California-Santa Barbara,CA,Public,42465
University of California-Davis,CA,Public,42433
University of California-Berkeley,CA,Public,42184
University of California-Santa Cruz,CA,Public,42034
University of California-San Diego,CA,Public,42032
University of California-Riverside,CA,Public,41931
University of California-Irvine,CA,Public,41752
University of California-Merced,CA,Public,41612
University of Vermont,VT,Public,41356
University of California-Los Angeles,CA,Public,41275
Michigan State University,MI,Public,39406
Colorado School of Mines,CO,Public,37436
University of Connecticut,CT,Public,36948
The University of Texas at Austin,TX,Public,36744
Texas A & M University-College Station,TX,Public,36606
University of Colorado Boulder,CO,Public,36220
Clemson University,SC,Public,36058
University of Washington-Tacoma Campus,WA,Public,35610
University of Washington-Seattle Campus,WA,Public,35538
University of Washington-Bothell Campus,WA,Public,35475
University of Arizona,AZ,Public,35307
University of Connecticut-Stamford,CT,Public,34916
University of Connecticut-Waterbury Campus,CT,Public,34906
University of Connecticut-Avery Point,CT,Public,34906
University of Connecticut-Hartford Campus,CT,Public,34896
Indiana University-Bloomington,IN,Public,34845
University of Wisconsin-Madison,WI,Public,34783
University of Oregon,OR,Public,34611
University of North Carolina at Chapel Hill,NC,Public,34588
Massachusetts College of Art and Design,MA,Public,34400
George Mason University,VA,Public,34370
Miami University-Oxford,OH,Public,34211
Citadel Military College of South Carolina,SC,Public,33819
University of Hawaii at Manoa,HI,Public,33786
Pennsylvania State University-Main Campus,PA,Public,33664
Virginia Commonwealth University,VA,Public,33656
University of Maryland-College Park,MD,Public,33606
University of Massachusetts-Amherst,MA,Public,33477
University of Delaware,DE,Public,33150
Georgia Institute of Technology-Main Campus,GA,Public,33014
University of Massachusetts-Boston,MA,Public,32985
University of New Hampshire-Main Campus,NH,Public,32637
Michigan Technological University,MI,Public,32318
University of South Carolina-Columbia,SC,Public,31962
